1 to 0,1
0 to 1,2
0 to 0,3
1 to 1,4
2 to 0,5
0 to 2,6
2 to 1,7
1 to 2,8
3 to 0,9
2 to 2,10
3 to 1,11
0 to 3,12
1 to 3,13
2 to 3,14
4 to 0,15
3 to 2,16
4 to 1,17
0 to 4,18
1 to 4,19
4 to 2,20
2 to 4,21
3 to 3,22
5 to 1,22
0 to 5,22
1 to 5,22
4 to 3,22
5 to 2,22
3 to 4,22
5 to 0,22
2 to 5,22
6 to 1,22
5 to 3,22
1 to 6,22
1 to 7,22
3 to 5,22
4 to 4,22
6 to 0,22
6 to 2,22
,
